rundate,this_period,foreign_region,foreign_country,UK_airport,foreign_airport,ty_total,ty_sch,ty_char,ly_total,ly_sch,ly_char,pc_change
17/03/2022 11:53,202201,WESTERN EUROPE-EU,AUSTRIA,GATWICK,INNSBRUCK,13481,9240,4241,96,96,0,13942.70833
17/03/2022 11:53,202201,WESTERN EUROPE-EU,AUSTRIA,GATWICK,SALZBURG,3683,1483,2200,65,65,0,5566.153846
17/03/2022 11:53,202201,WESTERN EUROPE-EU,AUSTRIA,GATWICK,VIENNA,0,0,0,106,106,0,-100
17/03/2022 11:53,202201,WESTERN EUROPE-EU,AUSTRIA,HEATHROW,INNSBRUCK,7702,7702,0,0,0,0,0
17/03/2022 11:53,202201,WESTERN EUROPE-EU,AUSTRIA,HEATHROW,SALZBURG,6270,6270,0,0,0,0,0
17/03/2022 11:53,202201,WESTERN EUROPE-EU,AUSTRIA,HEATHROW,VIENNA,13849,13849,0,1920,1920,0,621.302083
17/03/2022 11:53,202201,WESTERN EUROPE-EU,AUSTRIA,LUTON,INNSBRUCK,1882,964,918,0,0,0,0
17/03/2022 11:53,202201,WESTERN EUROPE-EU,AUSTRIA,LUTON,SALZBURG,956,956,0,0,0,0,0
17/03/2022 11:53,202201,WESTERN EUROPE-EU,AUSTRIA,LUTON,VIENNA,3339,3339,0,0,0,0,0
17/03/2022 11:53,202201,WESTERN EUROPE-EU,AUSTRIA,STANSTED,INNSBRUCK,2295,1044,1251,0,0,0,0
17/03/2022 11:53,202201,WESTERN EUROPE-EU,AUSTRIA,STANSTED,SALZBURG,4679,3899,780,0,0,0,0
17/03/2022 11:53,202201,WESTERN EUROPE-EU,AUSTRIA,STANSTED,VIENNA,6982,6982,0,931,931,0,649.946294
17/03/2022 11:53,202201,WESTERN EUROPE-EU,AUSTRIA,BELFAST CITY (GEORGE BEST),SALZBURG,0,0,0,1,0,1,-100
17/03/2022 11:53,202201,WESTERN EUROPE-EU,AUSTRIA,BELFAST INTERNATIONAL,SALZBURG,1072,1072,0,0,0,0,0
17/03/2022 11:53,202201,WESTERN EUROPE-EU,AUSTRIA,BIRMINGHAM,INNSBRUCK,2896,908,1988,0,0,0,0
17/03/2022 11:53,202201,WESTERN EUROPE-EU,AUSTRIA,BIRMINGHAM,SALZBURG,1684,838,846,0,0,0,0
17/03/2022 11:53,202201,WESTERN EUROPE-EU,AUSTRIA,BRISTOL,INNSBRUCK,3333,2253,1080,11,11,0,30200
17/03/2022 11:53,202201,WESTERN EUROPE-EU,AUSTRIA,BRISTOL,SALZBURG,2404,1499,905,20,20,0,11920
17/03/2022 11:53,202201,WESTERN EUROPE-EU,AUSTRIA,BRISTOL,VIENNA,363,363,0,0,0,0,0
17/03/2022 11:53,202201,WESTERN EUROPE-EU,AUSTRIA,EAST MIDLANDS INTERNATIONAL,SALZBURG,1123,656,467,0,0,0,0
17/03/2022 11:53,202201,WESTERN EUROPE-EU,AUSTRIA,EDINBURGH,INNSBRUCK,2012,836,1176,0,0,0,0
17/03/2022 11:53,202201,WESTERN EUROPE-EU,AUSTRIA,EDINBURGH,SALZBURG,793,793,0,0,0,0,0
17/03/2022 11:53,202201,WESTERN EUROPE-EU,AUSTRIA,EDINBURGH,VIENNA,743,743,0,0,0,0,0
17/03/2022 11:53,202201,WESTERN EUROPE-EU,AUSTRIA,GLASGOW,SALZBURG,725,0,725,0,0,0,0
17/03/2022 11:53,202201,WESTERN EUROPE-EU,AUSTRIA,LEEDS BRADFORD,SALZBURG,888,888,0,0,0,0,0
17/03/2022 11:53,202201,WESTERN EUROPE-EU,AUSTRIA,LIVERPOOL (JOHN LENNON),SALZBURG,851,851,0,0,0,0,0
17/03/2022 11:53,202201,WESTERN EUROPE-EU,AUSTRIA,LIVERPOOL (JOHN LENNON),VIENNA,263,263,0,0,0,0,0
17/03/2022 11:53,202201,WESTERN EUROPE-EU,AUSTRIA,MANCHESTER,INNSBRUCK,5593,3099,2494,8,8,0,69812.5
17/03/2022 11:53,202201,WESTERN EUROPE-EU,AUSTRIA,MANCHESTER,SALZBURG,3380,2011,1369,0,0,0,0
17/03/2022 11:53,202201,WESTERN EUROPE-EU,AUSTRIA,MANCHESTER,VIENNA,630,630,0,0,0,0,0
17/03/2022 11:53,202201,WESTERN EUROPE-EU,AUSTRIA,NEWCASTLE,INNSBRUCK,997,997,0,0,0,0,0
17/03/2022 11:53,202201,WESTERN EUROPE-EU,AUSTRIA,SOUTHAMPTON,SALZBURG,98,98,0,0,0,0,0
17/03/2022 11:53,202201,WESTERN EUROPE-EU,BELGIUM,HEATHROW,BRUSSELS,14548,14548,0,5532,5532,0,162.979031
17/03/2022 11:53,202201,WESTERN EUROPE-EU,BELGIUM,BIRMINGHAM,BRUSSELS,280,280,0,0,0,0,0
17/03/2022 11:53,202201,WESTERN EUROPE-EU,BELGIUM,EDINBURGH,BRUSSELS,359,359,0,0,0,0,0
17/03/2022 11:53,202201,WESTERN EUROPE-EU,BELGIUM,EDINBURGH,CHARLEROI,1924,1924,0,275,275,0,599.636364
17/03/2022 11:53,202201,WESTERN EUROPE-EU,BELGIUM,HUMBERSIDE,OSTEND,0,0,0,93,0,93,-100
17/03/2022 11:53,202201,WESTERN EUROPE-EU,BELGIUM,MANCHESTER,BRUSSELS,4173,4173,0,1106,1106,0,277.305606
17/03/2022 11:53,202201,WESTERN EUROPE-EU,BELGIUM,MANCHESTER,CHARLEROI,3143,3143,0,0,0,0,0
17/03/2022 11:53,202201,WESTERN EUROPE-EU,CROATIA,HEATHROW,ZAGREB,3278,3278,0,821,821,0,299.269184
17/03/2022 11:53,202201,WESTERN EUROPE-EU,CROATIA,STANSTED,ZAGREB,4033,4033,0,0,0,0,0
17/03/2022 11:53,202201,WESTERN EUROPE-EU,CROATIA,MANCHESTER,ZAGREB,519,519,0,0,0,0,0
17/03/2022 11:53,202201,WESTERN EUROPE-EU,CYPRUS,GATWICK,LARNACA,1492,1492,0,422,422,0,253.554502
17/03/2022 11:53,202201,WESTERN EUROPE-EU,CYPRUS,GATWICK,PAPHOS,2811,2811,0,172,172,0,1534.302326
17/03/2022 11:53,202201,WESTERN EUROPE-EU,CYPRUS,HEATHROW,LARNACA,13027,13027,0,3071,3071,0,324.194074
17/03/2022 11:53,202201,WESTERN EUROPE-EU,CYPRUS,LUTON,LARNACA,5315,5315,0,279,279,0,1805.017921
17/03/2022 11:53,202201,WESTERN EUROPE-EU,CYPRUS,LUTON,PAPHOS,325,325,0,89,89,0,265.168539
