rundate,this_period,foreign_region,foreign_country,UK_airport,foreign_airport,total_pax_this_period,total_pax_scheduled_this_period,total_pax_charter_this_period,total_pax_last_period,total_pax_scheduled_last_period,total_pax_charter_last_period,total_pax_percent
20/07/2022 13:57,202205,WESTERN EUROPE-EU,AUSTRIA,GATWICK,INNSBRUCK,2795,2795,0,0,0,0,0
20/07/2022 13:57,202205,WESTERN EUROPE-EU,AUSTRIA,GATWICK,SALZBURG,171,0,171,0,0,0,0
20/07/2022 13:57,202205,WESTERN EUROPE-EU,AUSTRIA,GATWICK,VIENNA,24380,24380,0,0,0,0,0
20/07/2022 13:57,202205,WESTERN EUROPE-EU,AUSTRIA,HEATHROW,VIENNA,47324,47324,0,5832,5832,0,711.454047
20/07/2022 13:57,202205,WESTERN EUROPE-EU,AUSTRIA,LUTON,VIENNA,0,0,0,1033,1033,0,-100
20/07/2022 13:57,202205,WESTERN EUROPE-EU,AUSTRIA,STANSTED,SALZBURG,5588,5588,0,0,0,0,0
20/07/2022 13:57,202205,WESTERN EUROPE-EU,AUSTRIA,STANSTED,VIENNA,18999,18999,0,1205,1205,0,1476.680498
20/07/2022 13:57,202205,WESTERN EUROPE-EU,AUSTRIA,BIRMINGHAM,INNSBRUCK,182,182,0,0,0,0,0
20/07/2022 13:57,202205,WESTERN EUROPE-EU,AUSTRIA,BRISTOL,INNSBRUCK,164,164,0,0,0,0,0
20/07/2022 13:57,202205,WESTERN EUROPE-EU,AUSTRIA,BRISTOL,VIENNA,2372,2372,0,0,0,0,0
20/07/2022 13:57,202205,WESTERN EUROPE-EU,AUSTRIA,EDINBURGH,VIENNA,4267,4267,0,0,0,0,0
20/07/2022 13:57,202205,WESTERN EUROPE-EU,AUSTRIA,GLASGOW,SALZBURG,64,0,64,0,0,0,0
20/07/2022 13:57,202205,WESTERN EUROPE-EU,AUSTRIA,LIVERPOOL (JOHN LENNON),VIENNA,2177,2177,0,0,0,0,0
20/07/2022 13:57,202205,WESTERN EUROPE-EU,AUSTRIA,MANCHESTER,INNSBRUCK,326,326,0,0,0,0,0
20/07/2022 13:57,202205,WESTERN EUROPE-EU,AUSTRIA,MANCHESTER,SALZBURG,165,0,165,0,0,0,0
20/07/2022 13:57,202205,WESTERN EUROPE-EU,AUSTRIA,MANCHESTER,VIENNA,6591,6591,0,393,393,0,1577.099237
20/07/2022 13:57,202205,WESTERN EUROPE-EU,AUSTRIA,NEWCASTLE,SALZBURG,82,82,0,0,0,0,0
20/07/2022 13:57,202205,WESTERN EUROPE-EU,BELGIUM,HEATHROW,BRUSSELS,37731,37731,0,5449,5449,0,592.43898
20/07/2022 13:57,202205,WESTERN EUROPE-EU,BELGIUM,BELFAST INTERNATIONAL,CHARLEROI,3,0,3,0,0,0,0
20/07/2022 13:57,202205,WESTERN EUROPE-EU,BELGIUM,BIRMINGHAM,BRUSSELS,2997,2997,0,0,0,0,0
20/07/2022 13:57,202205,WESTERN EUROPE-EU,BELGIUM,EDINBURGH,BRUSSELS,5675,5675,0,0,0,0,0
20/07/2022 13:57,202205,WESTERN EUROPE-EU,BELGIUM,EDINBURGH,CHARLEROI,9911,9911,0,0,0,0,0
20/07/2022 13:57,202205,WESTERN EUROPE-EU,BELGIUM,GLASGOW,CHARLEROI,1887,1887,0,0,0,0,0
20/07/2022 13:57,202205,WESTERN EUROPE-EU,BELGIUM,LIVERPOOL (JOHN LENNON),CHARLEROI,1583,1583,0,0,0,0,0
20/07/2022 13:57,202205,WESTERN EUROPE-EU,BELGIUM,MANCHESTER,BRUSSELS,10802,10802,0,1849,1849,0,484.20768
20/07/2022 13:57,202205,WESTERN EUROPE-EU,BELGIUM,MANCHESTER,CHARLEROI,16684,16684,0,0,0,0,0
20/07/2022 13:57,202205,WESTERN EUROPE-EU,CROATIA,GATWICK,DUBROVNIK,22431,22182,249,76,76,0,29414.473684
20/07/2022 13:57,202205,WESTERN EUROPE-EU,CROATIA,GATWICK,PULA,5385,2464,2921,0,0,0,0
20/07/2022 13:57,202205,WESTERN EUROPE-EU,CROATIA,GATWICK,RIJEKA,334,334,0,0,0,0,0
20/07/2022 13:57,202205,WESTERN EUROPE-EU,CROATIA,GATWICK,SPLIT,16853,14046,2807,80,80,0,20966.25
20/07/2022 13:57,202205,WESTERN EUROPE-EU,CROATIA,GATWICK,ZADAR,379,256,123,0,0,0,0
20/07/2022 13:57,202205,WESTERN EUROPE-EU,CROATIA,HEATHROW,DUBROVNIK,2762,2762,0,0,0,0,0
20/07/2022 13:57,202205,WESTERN EUROPE-EU,CROATIA,HEATHROW,PULA,418,418,0,0,0,0,0
20/07/2022 13:57,202205,WESTERN EUROPE-EU,CROATIA,HEATHROW,SPLIT,3746,3746,0,32,32,0,11606.25
20/07/2022 13:57,202205,WESTERN EUROPE-EU,CROATIA,HEATHROW,ZAGREB,11798,11798,0,895,895,0,1218.212291
20/07/2022 13:57,202205,WESTERN EUROPE-EU,CROATIA,LUTON,SPLIT,3602,3602,0,246,246,0,1364.227642
20/07/2022 13:57,202205,WESTERN EUROPE-EU,CROATIA,STANSTED,DUBROVNIK,4314,4314,0,0,0,0,0
20/07/2022 13:57,202205,WESTERN EUROPE-EU,CROATIA,STANSTED,PULA,2328,2328,0,0,0,0,0
20/07/2022 13:57,202205,WESTERN EUROPE-EU,CROATIA,STANSTED,RIJEKA,1712,1712,0,0,0,0,0
20/07/2022 13:57,202205,WESTERN EUROPE-EU,CROATIA,STANSTED,SPLIT,2185,2185,0,0,0,0,0
20/07/2022 13:57,202205,WESTERN EUROPE-EU,CROATIA,STANSTED,ZADAR,3897,3897,0,0,0,0,0
20/07/2022 13:57,202205,WESTERN EUROPE-EU,CROATIA,STANSTED,ZAGREB,5129,5129,0,0,0,0,0
20/07/2022 13:57,202205,WESTERN EUROPE-EU,CROATIA,BELFAST INTERNATIONAL,DUBROVNIK,1282,1282,0,0,0,0,0
20/07/2022 13:57,202205,WESTERN EUROPE-EU,CROATIA,BIRMINGHAM,DUBROVNIK,5396,5254,142,0,0,0,0
20/07/2022 13:57,202205,WESTERN EUROPE-EU,CROATIA,BIRMINGHAM,PULA,1691,0,1691,0,0,0,0
20/07/2022 13:57,202205,WESTERN EUROPE-EU,CROATIA,BIRMINGHAM,SPLIT,2492,2492,0,0,0,0,0
20/07/2022 13:57,202205,WESTERN EUROPE-EU,CROATIA,BIRMINGHAM,ZADAR,826,826,0,0,0,0,0
20/07/2022 13:57,202205,WESTERN EUROPE-EU,CROATIA,BRISTOL,DUBROVNIK,5021,5021,0,0,0,0,0
20/07/2022 13:57,202205,WESTERN EUROPE-EU,CROATIA,BRISTOL,PULA,914,914,0,0,0,0,0
20/07/2022 13:57,202205,WESTERN EUROPE-EU,CROATIA,BRISTOL,SPLIT,5807,5807,0,0,0,0,0
20/07/2022 13:57,202205,WESTERN EUROPE-EU,CROATIA,CARDIFF WALES,DUBROVNIK,1161,0,1161,0,0,0,0
20/07/2022 13:57,202205,WESTERN EUROPE-EU,CROATIA,DONCASTER SHEFFIELD,DUBROVNIK,995,995,0,0,0,0,0
