rundate,report_period,region_num,foreign_region,foreign_country,uk_group,uk_apt,foreign_apt,ty_t_pax,ty_s_pax,ty_c_pax,ly_t_pax,ly_s_pax,ly_c_pax,pc_change
20/03/2023 10:46,2022,1,WESTERN EUROPE-EU,AUSTRIA,1,GATWICK,INNSBRUCK,131247,109163,22084,9300,8230,1070,1311.25806
20/03/2023 10:46,2022,1,WESTERN EUROPE-EU,AUSTRIA,1,GATWICK,SALZBURG,48452,35061,13391,1858,1544,314,2507.75027
20/03/2023 10:46,2022,1,WESTERN EUROPE-EU,AUSTRIA,1,GATWICK,VIENNA,203487,203425,62,106,106,0,191868.86792
20/03/2023 10:46,2022,1,WESTERN EUROPE-EU,AUSTRIA,1,HEATHROW,INNSBRUCK,36025,36025,0,2541,2541,0,1317.74892
20/03/2023 10:46,2022,1,WESTERN EUROPE-EU,AUSTRIA,1,HEATHROW,SALZBURG,26813,26813,0,2419,2419,0,1008.43324
20/03/2023 10:46,2022,1,WESTERN EUROPE-EU,AUSTRIA,1,HEATHROW,VIENNA,589365,589365,0,135223,135223,0,335.84671
20/03/2023 10:46,2022,1,WESTERN EUROPE-EU,AUSTRIA,1,LONDON CITY,SALZBURG,2251,2251,0,0,0,0,0
20/03/2023 10:46,2022,1,WESTERN EUROPE-EU,AUSTRIA,1,LUTON,INNSBRUCK,8908,3624,5284,679,307,372,1211.92931
20/03/2023 10:46,2022,1,WESTERN EUROPE-EU,AUSTRIA,1,LUTON,SALZBURG,6220,6220,0,492,492,0,1164.22764
20/03/2023 10:46,2022,1,WESTERN EUROPE-EU,AUSTRIA,1,LUTON,VIENNA,11964,11841,123,19345,19345,0,-38.15456
20/03/2023 10:46,2022,1,WESTERN EUROPE-EU,AUSTRIA,1,STANSTED,INNSBRUCK,9197,4526,4671,563,295,268,1533.57016
20/03/2023 10:46,2022,1,WESTERN EUROPE-EU,AUSTRIA,1,STANSTED,KLAGENFURT,4640,4640,0,0,0,0,0
20/03/2023 10:46,2022,1,WESTERN EUROPE-EU,AUSTRIA,1,STANSTED,SALZBURG,79132,76580,2552,4867,4797,70,1525.88864
20/03/2023 10:46,2022,1,WESTERN EUROPE-EU,AUSTRIA,1,STANSTED,VIENNA,226120,226120,0,69573,68593,980,225.01114
20/03/2023 10:46,2022,1,WESTERN EUROPE-EU,AUSTRIA,2,BELFAST CITY (GEORGE BEST),SALZBURG,0,0,0,1,0,1,-100
20/03/2023 10:46,2022,1,WESTERN EUROPE-EU,AUSTRIA,2,BELFAST INTERNATIONAL,SALZBURG,3623,3163,460,41,41,0,8736.58537
20/03/2023 10:46,2022,1,WESTERN EUROPE-EU,AUSTRIA,2,BELFAST INTERNATIONAL,VIENNA,177,0,177,130,37,93,36.15385
